name,category,description,address,state,city,contact_number,email,website,services,operating_hours,is_verified,is_government,is_active
National Directorate of Employment (NDE) Lagos,offline,"The National Directorate of Employment provides employment and vocational skills training for Nigerian youths and job seekers.","Plot 1, NDE House, Hakeem Balogun Street, CBD, Alausa",Lagos,Ikeja,08012345001,lagos@nde.gov.ng,https://www.nde.gov.ng,"Job Placement; Vocational Training; Skills Acquisition; Youth Empowerment; Career Counseling; Entrepreneurship Training",Mon-Fri: 8AM-4PM,1,1,1
NDE Abuja Headquarters,offline,"National headquarters of the National Directorate of Employment providing nationwide coordination of employment programs.","No. 16 Dunukofia Street, off Ahmadu Bello Way, Area 11, Garki",Federal Capital Territory,Abuja,09012345002,info@nde.gov.ng,https://www.nde.gov.ng,"Job Placement; Vocational Training; Graduate Training; Rural Employment; Special Public Works",Mon-Fri: 8AM-4PM,1,1,1
Federal Ministry of Labour and Employment - Lagos,offline,"Government ministry responsible for labour, employment and productivity matters in Nigeria.",Western Avenue,Lagos,Surulere,08023456003,lagos@labour.gov.ng,https://www.labour.gov.ng,"Job Registration; Employment Advisory; Labour Market Information; Skills Certification; Job Matching",Mon-Fri: 8AM-4PM,1,1,1
Industrial Training Fund (ITF) Lagos,offline,"Promotes and encourages the acquisition of skills in industry and commerce with a view to generating a pool of skilled personnel.","15 Idowu Taylor Street",Lagos,Victoria Island,08034567004,lagos@itf.gov.ng,https://www.itf.gov.ng,"Skills Training; Industrial Attachment; Apprenticeship Programs; Technical Training; Entrepreneurship Development",Mon-Fri: 8AM-4PM,1,1,1
ITF Abuja,offline,"Industrial Training Fund headquarters providing nationwide industrial skills development programs.","Jos Road, Kwall",Federal Capital Territory,Abuja,08045678005,info@itf.gov.ng,https://www.itf.gov.ng,"Skills Training; Industrial Attachment; Apprenticeship Programs; Vocational Training; SIWES Coordination",Mon-Fri: 8AM-4PM,1,1,1
Jobberman Nigeria,online,"Nigeria's leading online job portal connecting job seekers with employers across various industries.",Online Platform,Lagos,Online,09087654321,support@jobberman.com,https://www.jobberman.com,"Online Job Listings; CV Writing Services; Career Advice; Skills Assessment; Job Alerts; Interview Tips",24/7 Online,1,0,1
LinkedIn Nigeria,online,"Professional networking platform with extensive job search and career development resources.",Online Platform,Lagos,Online,09098765432,nigeria@linkedin.com,https://www.linkedin.com,"Professional Networking; Job Search; Career Development; Skills Learning; Recruiter Connect; Company Research",24/7 Online,1,0,1
Workforce Group,both,"Leading recruitment and HR consulting firm providing comprehensive employment solutions.","235 Ikorodu Road",Lagos,Ilupeju,08045678901,info@workforcegroup.com,https://www.workforcegroup.com,"Executive Search; Recruitment Services; HR Consulting; Career Counseling; Skills Training; Talent Assessment",Mon-Fri: 9AM-5PM,1,0,1
Dragnet Solutions,both,"Technology-driven recruitment and HR solutions company providing innovative talent acquisition services.","15A Akin Adesola Street",Lagos,Victoria Island,08056789012,contact@dragnetsolutions.com,https://www.dragnetsolutions.com,"Talent Acquisition; Background Checks; Psychometric Testing; HR Technology; Outsourcing Services; Training",Mon-Fri: 9AM-5PM,1,0,1
Michael Stevens Consulting,both,"Premium recruitment and HR consulting firm specializing in executive placements and organizational development.","5th Floor, NIDB House, 18 Muhammadu Buhari Way, CBD",Federal Capital Territory,Abuja,08067890123,abuja@michaelstevens-consulting.com,https://www.michaelstevens-consulting.com,"Executive Search; Middle Management Recruitment; Graduate Placement; Career Advisory; Leadership Development; HR Consulting",Mon-Fri: 9AM-5PM,1,0,1
Career Clinic Nigeria,offline,"Professional career development and job placement centre offering personalized career guidance.","12 Admiralty Way, Lekki Phase 1",Lagos,Lekki,08078901234,info@careerclinic.ng,https://www.careerclinic.ng,"Career Counseling; CV Review; Interview Preparation; Job Placement; Skill Training; Career Assessment",Mon-Fri: 9AM-5PM; Sat: 10AM-2PM,1,0,1
Alder Consulting,both,"Award-winning recruitment firm specializing in finance, banking, and technology sectors.","12B Ligali Ayorinde Street",Lagos,Victoria Island,08089012345,recruitment@alderconsulting.com,https://www.alderconsulting.com,"Specialized Recruitment; Executive Search; Contract Staffing; HR Advisory; Salary Surveys; Market Intelligence",Mon-Fri: 8:30AM-5:30PM,1,0,1
RecruitNigeria,online,"Online recruitment platform focusing on connecting Nigerian talent with local and international employers.",Online Platform,Lagos,Online,08090123456,hello@recruitnigeria.com,https://www.recruitnigeria.com,"Job Board; CV Database; Employer Branding; Recruitment Advertising; Talent Search; Career Resources",24/7 Online,1,0,1
NDE Kano,offline,"NDE Kano state office providing employment services and skills training for Northern Nigeria.","Audu Bako Way, Nassarawa GRA",Kano,Nassarawa,08011234567,kano@nde.gov.ng,https://www.nde.gov.ng,"Job Placement; Vocational Training; Agricultural Skills; Artisan Training; Youth Empowerment; Business Development",Mon-Fri: 8AM-4PM,1,1,1
NDE Port Harcourt,offline,"NDE Rivers state office serving the South-South region with employment and training programs.","14 Aba Road, GRA Phase 2",Rivers,Port Harcourt,08022345678,rivers@nde.gov.ng,https://www.nde.gov.ng,"Job Placement; Skills Training; Graduate Training; Small Business Support; Youth Employment; Capacity Building",Mon-Fri: 8AM-4PM,1,1,1
Halogen Security Job Centre,offline,"Security services company with dedicated recruitment and training centre for security personnel.","22 Oba Akran Avenue",Lagos,Ikeja,08033456789,recruitment@halogensecurity.com,https://www.halogensecurity.com,"Security Training; Job Placement; Skills Certification; Career Development; Employment Services; Professional Training",Mon-Fri: 8AM-5PM,1,0,1
Lagos State Employment Trust Fund,offline,"Lagos state government initiative providing employment opportunities and entrepreneurship support.","30 Aromire Avenue, Ikeja GRA",Lagos,Ikeja,08044567890,info@lsetf.ng,https://www.lsetf.ng,"Job Creation; Entrepreneurship Grants; Skills Training; Business Development; Youth Employment; Market Access",Mon-Fri: 9AM-5PM,1,1,1
Youth Employment Service (YES),offline,"Non-profit organization focused on youth employment and skills development across Nigeria.","Plot 8B, Elsie Femi Pearse Street",Lagos,Victoria Island,08055678901,info@yes-ng.org,https://www.yes-ng.org,"Youth Employment; Skills Training; Career Mentoring; Job Placement; Entrepreneurship Support; Digital Skills",Mon-Fri: 9AM-5PM,1,0,1
NYSC Skills Acquisition Programme,offline,"National Youth Service Corps program providing skills training for corps members and graduates.","NYSC Secretariat, Wuse Zone 5",Federal Capital Territory,Abuja,08066789012,skillsacquisition@nysc.gov.ng,https://www.nysc.gov.ng,"Skills Training; Entrepreneurship Development; Job Placement; Post-Service Support; Business Grants; Capacity Building",Mon-Fri: 8AM-4PM,1,1,1
Career Point Nigeria,offline,"Career counseling and job placement centre with focus on professional development.","56 Isaac John Street, GRA",Lagos,Ikeja,08077890123,contact@careerpoint.ng,https://www.careerpoint.ng,"Career Counseling; Job Search Assistance; CV Writing; Interview Coaching; Skills Assessment; Professional Development",Mon-Fri: 9AM-6PM; Sat: 10AM-3PM,1,0,1
TalentBase Africa,both,"Pan-African talent solutions company providing recruitment and workforce development services.","3rd Floor, Wings Tower, 17 Ozumba Mbadiwe Avenue",Lagos,Victoria Island,08088901234,info@talentbase.africa,https://www.talentbase.africa,"Recruitment Services; Talent Management; Executive Search; HR Consulting; Training & Development; Outsourcing",Mon-Fri: 8AM-5PM,1,0,1
Gateway Employment Centre,offline,"Community-based employment centre providing free job search assistance and training.","15 College Road",Ogun,Abeokuta,08099012345,info@gatewayemployment.ng,https://www.gatewayemployment.ng,"Free Job Search; Skills Training; Career Guidance; CV Assistance; Computer Training; Job Matching",Mon-Fri: 9AM-5PM,0,0,1
NYSC Oyo State,offline,"NYSC orientation camp and skills acquisition centre serving Oyo state corps members.","NYSC Permanent Orientation Camp, Iseyin",Oyo,Iseyin,08010123456,oyo@nysc.gov.ng,https://www.nysc.gov.ng,"Skills Training; Entrepreneurship; Job Placement; Corps Welfare; Community Development; Post-Service Support",Mon-Fri: 8AM-4PM,1,1,1
The HR Shop,offline,"Boutique HR consulting firm offering personalized recruitment and career development services.","21 Admiralty Way, Lekki",Lagos,Lekki,08021234567,hello@thehrshop.ng,https://www.thehrshop.ng,"Recruitment; HR Consulting; Career Coaching; Talent Management; Leadership Training; Organizational Development",Mon-Fri: 9AM-5PM,1,0,1
Bridge Career Services,both,"Career services provider connecting graduates with entry-level opportunities across Nigeria.","45 Allen Avenue",Lagos,Ikeja,08032345678,careers@bridgeservices.ng,https://www.bridgeservices.ng,"Graduate Recruitment; Internship Placement; Career Guidance; Skills Training; Job Matching; Professional Development",Mon-Fri: 9AM-5PM,0,0,1
